model,cv_mean_auc,test_auc,test_accuracy,test_precision,test_recall,test_f1,best_params,n_features
Linear SVM,0.9877551020408163,0.9818181818181819,0.9722222222222222,1.0,0.9090909090909091,0.9523809523809523,{'model__C': 0.1},500
LASSO logistic regression,0.985532879818594,0.9781818181818182,0.9166666666666666,0.8333333333333334,0.9090909090909091,0.8695652173913043,{'model__C': 10.0},500
Elastic net logistic regression,0.9897959183673469,0.9781818181818182,0.9444444444444444,0.9090909090909091,0.9090909090909091,0.9090909090909091,"{'model__C': 10.0, 'model__l1_ratio': 0.5}",500
Random forest,0.9451927437641723,0.94,0.8888888888888888,0.8888888888888888,0.7272727272727273,0.7999999999999999,"{'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",500
Gradient boosting,0.9323356009070295,0.8945454545454545,0.8611111111111112,0.875,0.6363636363636364,0.7368421052631579,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__n_estimators': 100}",500
