model,mean_fold_roc_auc,sd_fold_roc_auc,pooled_roc_auc,pooled_accuracy,pooled_precision,pooled_recall,true_negative,false_positive,false_negative,true_positive
Elastic net logistic regression,0.912973484848485,0.05351340310983553,0.9082225913621262,0.851063829787234,0.7894736842105263,0.6976744186046512,180,16,26,60
L1 logistic regression,0.8867604617604617,0.057879218072668895,0.8738728049359279,0.8226950354609929,0.725,0.6744186046511628,174,22,28,58
