rank_group,associated_diagnosis,gene_symbol,geneID,ensembl_gene_id,coefficient,absolute_coefficient,mapping_status,coefficient_interpretation,best_model,best_params,direction,display_gene
top_negative_KD,KD,NR4A3,ENSG00000119508.18,ENSG00000119508,-0.3267527093628931,0.3267527093628931,mapped,Negative coefficient: higher expression pushes the classifier toward KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}",higher_KD,NR4A3
top_negative_KD,KD,IGLV1-40,ENSG00000211653.2,ENSG00000211653,-0.3102842419495397,0.3102842419495397,mapped,Negative coefficient: higher expression pushes the classifier toward KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}",higher_KD,IGLV1-40
top_negative_KD,KD,AOX1,ENSG00000138356.14,ENSG00000138356,-0.3032947598251097,0.3032947598251097,mapped,Negative coefficient: higher expression pushes the classifier toward KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}",higher_KD,AOX1
top_negative_KD,KD,SNORA65,ENSG00000201302.1,ENSG00000201302,-0.2793364794504319,0.2793364794504319,mapped,Negative coefficient: higher expression pushes the classifier toward KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}",higher_KD,SNORA65
top_negative_KD,KD,ADARB2,ENSG00000185736.16,ENSG00000185736,-0.2752683958550113,0.2752683958550113,mapped,Negative coefficient: higher expression pushes the classifier toward KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}",higher_KD,ADARB2
top_negative_KD,KD,RNA5SP389,ENSG00000199480.1,ENSG00000199480,-0.2481170075002462,0.2481170075002462,mapped,Negative coefficient: higher expression pushes the classifier toward KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}",higher_KD,RNA5SP389
top_negative_KD,KD,GC,ENSG00000145321.13,ENSG00000145321,-0.2428248662708076,0.2428248662708076,mapped,Negative coefficient: higher expression pushes the classifier toward KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}",higher_KD,GC
top_negative_KD,KD,KLHL14,ENSG00000197705.10,ENSG00000197705,-0.2311147436258929,0.2311147436258929,mapped,Negative coefficient: higher expression pushes the classifier toward KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}",higher_KD,KLHL14
top_negative_KD,KD,DEFA8P,ENSG00000223629.1,ENSG00000223629,-0.2295340680202782,0.2295340680202782,mapped,Negative coefficient: higher expression pushes the classifier toward KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}",higher_KD,DEFA8P
top_negative_KD,KD,Metazoa_SRP,ENSG00000276532.1,ENSG00000276532,-0.2245904802797491,0.2245904802797491,mapped,Negative coefficient: higher expression pushes the classifier toward KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}",higher_KD,Metazoa_SRP
top_negative_KD,KD,TTR,ENSG00000118271.12,ENSG00000118271,-0.2149255368461252,0.2149255368461252,mapped,Negative coefficient: higher expression pushes the classifier toward KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}",higher_KD,TTR
top_negative_KD,KD,YWHAQP5,ENSG00000236564.1,ENSG00000236564,-0.212196067329481,0.212196067329481,mapped,Negative coefficient: higher expression pushes the classifier toward KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}",higher_KD,YWHAQP5
top_negative_KD,KD,CDKN1C,ENSG00000129757.15,ENSG00000129757,-0.2057743977570357,0.2057743977570357,mapped,Negative coefficient: higher expression pushes the classifier toward KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}",higher_KD,CDKN1C
top_negative_KD,KD,CCR7,ENSG00000126353.3,ENSG00000126353,-0.2027470426119306,0.2027470426119306,mapped,Negative coefficient: higher expression pushes the classifier toward KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}",higher_KD,CCR7
top_negative_KD,KD,ALOX15,ENSG00000161905.13,ENSG00000161905,-0.1972225368800929,0.1972225368800929,mapped,Negative coefficient: higher expression pushes the classifier toward KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}",higher_KD,ALOX15
top_negative_KD,KD,IGHV1-3,ENSG00000211935.3,ENSG00000211935,-0.1839037488655406,0.1839037488655406,mapped,Negative coefficient: higher expression pushes the classifier toward KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}",higher_KD,IGHV1-3
top_negative_KD,KD,GSTM5,ENSG00000134201.12,ENSG00000134201,-0.1824275350206519,0.1824275350206519,mapped,Negative coefficient: higher expression pushes the classifier toward KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}",higher_KD,GSTM5
top_negative_KD,KD,IGLV1-47,ENSG00000211648.2,ENSG00000211648,-0.1715536555587941,0.1715536555587941,mapped,Negative coefficient: higher expression pushes the classifier toward KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}",higher_KD,IGLV1-47
top_negative_KD,KD,IGFBP2,ENSG00000115457.10,ENSG00000115457,-0.1706877494522882,0.1706877494522882,mapped,Negative coefficient: higher expression pushes the classifier toward KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}",higher_KD,IGFBP2
