geneID,coefficient,absolute_coefficient,direction,best_model,best_params
ENSG00000152766.6,0.15080931791365404,0.15080931791365404,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000159713.11,-0.14523364048979995,0.14523364048979995,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000240490.3,-0.14404760624217047,0.14404760624217047,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000055118.17,0.14135420460362338,0.14135420460362338,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000125798.15,0.13965550940994514,0.13965550940994514,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000208892.1,-0.1395815225133015,0.1395815225133015,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000124006.15,0.13713757521805667,0.13713757521805667,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000266875.2,-0.1354724295335537,0.1354724295335537,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000123838.11,-0.13083383271504834,0.13083383271504834,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000225937.3,0.12659718166830156,0.12659718166830156,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000163534.15,-0.12604208980874246,0.12604208980874246,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000076706.17,0.12371895248181781,0.12371895248181781,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000064886.14,-0.12344859999412151,0.12344859999412151,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000168062.10,0.1202212551320356,0.1202212551320356,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000231605.6,0.1196217005653943,0.1196217005653943,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000244414.7,-0.11849356040964801,0.11849356040964801,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000183091.20,0.11505514731553537,0.11505514731553537,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000139970.17,0.11396442413254583,0.11396442413254583,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000083454.22,-0.1138750572832018,0.1138750572832018,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000225972.1,-0.11282069265642607,0.11282069265642607,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000212864.3,0.11134660029566039,0.11134660029566039,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000160284.15,-0.10742879226907752,0.10742879226907752,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000173894.11,-0.10194889930052946,0.10194889930052946,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000010030.14,0.1012252913234655,0.1012252913234655,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000164692.18,-0.09799918045168546,0.09799918045168546,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000140807.7,-0.09708351464287711,0.09708351464287711,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000140470.15,0.09547623353155074,0.09547623353155074,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000198019.13,0.09338943302347862,0.09338943302347862,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
