geneID,ensembl_gene_id,gene_symbol,mapping_status,coefficient,absolute_coefficient,direction,best_model,best_params
ENSG00000280128.1,ENSG00000280128,XXbac-BPG283O16.9,mapped,-0.0065672086535144,0.0065672086535144,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000181143.15,ENSG00000181143,MUC16,mapped,0.0061480444036059,0.0061480444036059,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000267526.1,ENSG00000267526,RP11-178C3.6,mapped,-0.0054169524744534,0.0054169524744534,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000115963.14,ENSG00000115963,RND3,mapped,-0.0049915037329161,0.0049915037329161,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000170956.17,ENSG00000170956,CEACAM3,mapped,0.004840263573085,0.004840263573085,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000140534.14,ENSG00000140534,TICRR,mapped,-0.0047453395375266,0.0047453395375266,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000095739.11,ENSG00000095739,BAMBI,mapped,0.0031079012961969,0.0031079012961969,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000235781.1,ENSG00000235781,LINC02569,mapped,-0.0019605133688393,0.0019605133688393,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000226808.3,ENSG00000226808,LINC00840,mapped,-0.0011956654326199,0.0011956654326199,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000254759.1,ENSG00000254759,NAP1L1P1,mapped,-0.0009020892270419,0.0009020892270419,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000159958.7,ENSG00000159958,TNFRSF13C,mapped,-0.0005055552822826,0.0005055552822826,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
