geneID,ensembl_gene_id,gene_symbol,mapping_status,coefficient,absolute_coefficient,direction,best_model,best_params
ENSG00000115457.10,ENSG00000115457,IGFBP2,mapped,-0.1706877494522882,0.1706877494522882,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000185015.8,ENSG00000185015,CA13,mapped,-0.1671612076542272,0.1671612076542272,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000152990.14,ENSG00000152990,ADGRA3,mapped,-0.166891884307382,0.166891884307382,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000162512.16,ENSG00000162512,SDC3,mapped,0.1612028866548566,0.1612028866548566,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000227036.8,ENSG00000227036,LINC00511,mapped,0.1578394266267114,0.1578394266267114,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000251230.6,ENSG00000251230,MIR3945HG,mapped,0.1571187433870162,0.1571187433870162,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000212348.1,ENSG00000212348,RNU6-1300P,mapped,-0.1556798707064045,0.1556798707064045,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000165309.14,ENSG00000165309,ARMC3,mapped,-0.1524300142618522,0.1524300142618522,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000152766.6,ENSG00000152766,ANKRD22,mapped,0.150809317913654,0.150809317913654,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000159713.11,ENSG00000159713,TPPP3,mapped,-0.1452336404897999,0.1452336404897999,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000240490.3,ENSG00000240490,RN7SL277P,mapped,-0.1440476062421704,0.1440476062421704,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000055118.17,ENSG00000055118,KCNH2,mapped,0.1413542046036233,0.1413542046036233,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000125798.15,ENSG00000125798,FOXA2,mapped,0.1396555094099451,0.1396555094099451,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000208892.1,ENSG00000208892,SNORA49,mapped,-0.1395815225133015,0.1395815225133015,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000124006.15,ENSG00000124006,OBSL1,mapped,0.1371375752180566,0.1371375752180566,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000266875.2,ENSG00000266875,RN7SL408P,mapped,-0.1354724295335537,0.1354724295335537,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000123838.11,ENSG00000123838,C4BPA,mapped,-0.1308338327150483,0.1308338327150483,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000225937.3,ENSG00000225937,PCA3,mapped,0.1265971816683015,0.1265971816683015,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000163534.15,ENSG00000163534,FCRL1,mapped,-0.1260420898087424,0.1260420898087424,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000076706.17,ENSG00000076706,MCAM,mapped,0.1237189524818178,0.1237189524818178,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000064886.14,ENSG00000064886,CHI3L2,mapped,-0.1234485999941215,0.1234485999941215,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000168062.10,ENSG00000168062,BATF2,mapped,0.1202212551320356,0.1202212551320356,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000231605.6,ENSG00000231605,LINC01363,mapped,0.1196217005653943,0.1196217005653943,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000244414.7,ENSG00000244414,CFHR1,mapped,-0.118493560409648,0.118493560409648,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000183091.20,ENSG00000183091,NEB,mapped,0.1150551473155353,0.1150551473155353,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000139970.17,ENSG00000139970,RTN1,mapped,0.1139644241325458,0.1139644241325458,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000083454.22,ENSG00000083454,P2RX5,mapped,-0.1138750572832018,0.1138750572832018,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
